Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Mirosa Cafe & Kitchen,4.3,3122.0,"Pizza, Burger, Fast Food","3-6-236/2, 3-6-236/2/A, Road 15, AP State Housing Board, Himayath Nagar, Hyderabad",hyderabad,/hyderabad/mirosa-cafe-kitchen-1-himayath-nagar/info,https://b.zmtcdn.com/data/pictures/5/20644895/2b8b801ff966cc12f7f57475a14065a0_featured_v2.jpg
Masala Republic By Dadu's,4.3,3028.0,"Asian, Continental, North Indian","3-6-14/3-5, Himayat Nagar Road, Chandra Nagar Basheer Bagh Hyderabad, Basheer Bagh, Hyderabad",hyderabad,/hyderabad/masala-republic-by-dadus-basheer-bagh/info,https://b.zmtcdn.com/data/pictures/5/19137785/07cc555e09a96f9e4db509978e124cd6_featured_v2.jpg
Gipis Pizza House,4.3,259.0,"Cafe, Pizza, Beverages","3-6-156/A, Shop 1, Urdu Gali, Circle 17, Himayath Nagar, Hyderabad",hyderabad,/hyderabad/gipis-pizza-house-himayath-nagar/info,https://b.zmtcdn.com/data/pictures/3/22566903/f566774e35092a209cc370fa14e71f44_o2_featured_v2.jpg
Pista House,4.3,23.0,"Biryani, North Indian, Chinese","16-11-729, Gaddiannaram, Dilsukhnagar, Hyderabad",hyderabad,/hyderabad/pista-house-dilsukhnagar/info,https://b.zmtcdn.com/data/pictures/chains/9/91999/1ea8ad15683d870685896e04bbf5b504_featured_v2.jpg
Accha Telugu Kitchen & Bar,4.3,1348.0,"South Indian, Fast Food","Hussain Sagar, Opposite Lake Police Station, PV Narasimha Rao Marg, Somajiguda, Hyderabad",hyderabad,/hyderabad/accha-telugu-kitchen-bar-somajiguda/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Parampara - Flavours Of India,4.1,3669.0,"North Indian, South Indian, Chinese","6-3-249/5/1/103 & 104, 1st Floor, ANR Centre, Road 1, Banjara Hills, Hyderabad",hyderabad,/hyderabad/parampara-flavours-of-india-banjara-hills/info,https://b.zmtcdn.com/data/pictures/7/19538187/fab53c9564e27bf222294e566e5b4ce4_o2_featured_v2.jpg
Qaffeine Bistro,4.4,250.0,"Continental, Cafe, Pizza","8-2-208/19, Road 10, Banjara Hills, Hyderabad",hyderabad,/hyderabad/qaffeine-bistro-1-banjara-hills/info,https://b.zmtcdn.com/data/pictures/5/22629775/9c04b3af1a23831fc5c1e5b313da34ab_o2_featured_v2.jpg
Krishnapatnam,4.2,3625.0,South Indian,"11-9-7/4, SR Apartment, Prabhat Nagar, Laxmi Nagar Colony, Kothapet, Hyderabad",hyderabad,/hyderabad/krishnapatnam-kothapet/info,https://b.zmtcdn.com/data/pictures/9/21881299/cc7f6cc8f3b734cfb14176e6c8c15ec0_featured_v2.jpg
Hummus House,4.7,1734.0,"Mediterranean, Lebanese, Asian","2-674/B/3/2A, House 8, Sri Ram Nagar Colony, Road 12, Banjara Hills, Hyderabad",hyderabad,/hyderabad/hummus-house-banjara-hills/info,https://b.zmtcdn.com/data/pictures/6/20703026/07a658a920b6ca4d46b97c14ead67c27_featured_v2.jpg
The Market - Ritz Carlton,4.3,1491.0,"North Indian, European, Asian","99, Shanthala Nagar, Ashok Nagar, Residency Road, Bangalore",bangalore,/bangalore/the-market-ritz-carlton-residency-road-bangalore/info,https://b.zmtcdn.com/data/pictures/9/55879/58f7b942be3058c46da1beb3b791aba7_featured_v2.jpg
Shiro,4.3,5413.0,"Japanese, Sushi, Asian","2nd Floor, UB City Mall, Vittal Mallya Road, Near Lavelle Road, Bangalore",bangalore,/bangalore/shiro-lavelle-road/info,https://b.zmtcdn.com/data/pictures/0/50890/031684e4deaead86cb1487bd1f698959_featured_v2.jpg
Kling Brewery,4.2,2464.0,"Continental, European, Asian","27, Ground Floor, Sattva Auro, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",bangalore,/bangalore/kling-brewery-church-street-bangalore/info,https://b.zmtcdn.com/data/pictures/9/20996449/e4fc1b101c821d29b0eca3271398a509_featured_v2.jpg
Cha Hong Kong Eating House,4.4,1450.0,"Chinese, Desserts, Momos","76-20-50, First Floor, Unit Number F3, F4, F5 and F6, Sobha, Church Street, Bangalore",bangalore,/bangalore/cha-hong-kong-eating-house-church-street-bangalore/info,https://b.zmtcdn.com/data/pictures/3/22243603/35f52ffd753dec3daf66e06b5f815f7c_o2_featured_v2.jpg
Ishaara,4.3,1775.0,"Biryani, Seafood, Mughlai","Units F3, F4, F5 and F6, 1 Sobha, BBMP 50, Residency Road, Bangalore",bangalore,/bangalore/ishaara-residency-road-bangalore/info,https://b.zmtcdn.com/data/pictures/6/22243456/f024eb058c7c164ff81ac1e8410ca08b_o2_featured_v2.jpg
Scottish Pub,4.0,1802.0,"Asian, Chinese, Burger","17/21, Vasavi Complex, opposite to State Bank of India, Shanthala Nagar, Ashok Nagar, St. Marks Road, Bangalore",bangalore,/bangalore/scottish-pub-st-marks-road/info,https://b.zmtcdn.com/data/pictures/7/50877/67b31049ff23728c5e2d154d2333abe6_featured_v2.jpg
Muro,4.4,3215.0,"Thai, Cantonese, Salad","5, Museum Road, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",bangalore,/bangalore/muro-church-street-bangalore/info,https://b.zmtcdn.com/data/pictures/8/20930988/2a064933f8bdd261df8050594ab51c8b_featured_v2.jpg
Over Coffee Cafe & Wine Bar,4.0,1881.0,"European, Italian, Continental","41, Ground Floor, Cristu Complex, Ashok Nagar, Lavelle Road, Bangalore",bangalore,/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info,https://b.zmtcdn.com/data/pictures/1/20626791/7bafabdfd670d85e5bd4e8e96a2b3972_featured_v2.jpg
JW Kitchen - JW Marriott Bengaluru,4.2,4238.0,"North Indian, Continental, Mughlai","JW Marriott, 24/1, Vittal Mallya Road, UB City, Near Lavelle Road, Bangalore",bangalore,/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road/info,https://b.zmtcdn.com/data/pictures/7/55907/4e1cbc184f6686919a4597a1f77ba2fb_featured_v2.jpg
