Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
Masala Republic By Dadu's,4.3,3027.0,"Asian, Continental, North Indian","3-6-14/3-5, Himayat Nagar Road, Chandra Nagar Basheer Bagh Hyderabad, Basheer Bagh, Hyderabad",Hyderabad,/hyderabad/masala-republic-by-dadus-basheer-bagh/info,https://b.zmtcdn.com/data/pictures/5/19137785/07cc555e09a96f9e4db509978e124cd6_featured_v2.jpg?output-format=webp
Mirame Cafe & Kitchen,4.3,1472.0,"Chinese, North Indian, Cafe","Chikkadpalli Road, Above Union Bank, Chikkadpally, Vivek Nagar, Himayatnagar, Hyderabad",Hyderabad,/hyderabad/mirame-cafe-kitchen-rtc-x-roads/info,https://b.zmtcdn.com/data/pictures/4/20567554/68ebff342b71012b0174a043b3f5d114_featured_v2.jpg?output-format=webp
Accha Telugu Kitchen & Bar,4.3,1332.0,"South Indian, Fast Food","Hussain Sagar, Opposite Lake Police Station, PV Narasimha Rao Marg, Somajiguda, Hyderabad",Hyderabad,/hyderabad/accha-telugu-kitchen-bar-somajiguda/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png?output-format=webp
The Camp,4.2,1237.0,"Modern Indian, Bar Food, Alcoholic Beverages","9th Floor, Triveni Complex, Abids, Hyderabad",Hyderabad,/hyderabad/the-camp-abids/info,https://b.zmtcdn.com/data/pictures/9/21623459/6e5a31cdadae36e8c95dd66fd7c66392_featured_v2.jpg?output-format=webp
Qaffeine Bistro,4.4,247.0,"Continental, Cafe, Pizza","8-2-208/19, Road 10, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/qaffeine-bistro-1-banjara-hills/info,https://b.zmtcdn.com/data/pictures/5/22629775/9c04b3af1a23831fc5c1e5b313da34ab_o2_featured_v2.jpg?output-format=webp
Parampara - Flavours Of India,4.1,3667.0,"North Indian, South Indian, Chinese","6-3-249/5/1/103 & 104, 1st Floor, ANR Centre, Road 1, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/parampara-flavours-of-india-banjara-hills/info,https://b.zmtcdn.com/data/pictures/7/19538187/fab53c9564e27bf222294e566e5b4ce4_o2_featured_v2.jpg?output-format=webp
Bidri - Hyderabad Marriott Hotel & Convention Centre,4.4,623.0,"Hyderabadi, North Indian, Mughlai","Hyderabad Marriott Hotel & Convention Centre, Tank Bund Road, Near Necklace Road, Hyderabad",Hyderabad,/hyderabad/bidri-hyderabad-marriott-hotel-convention-centre-necklace-road/info,https://b.zmtcdn.com/data/pictures/4/91834/c6d038cc5612848e18526bf4a7c040be_featured_v2.jpg?output-format=webp
Krishnapatnam,4.2,3612.0,"Andhra, Chinese, North Indian","11-9-7/4, SR Apartment, Prabhat Nagar, Laxmi Nagar Colony, Kothapet, Hyderabad",Hyderabad,/hyderabad/krishnapatnam-kothapet/info,https://b.zmtcdn.com/data/pictures/9/21881299/cc7f6cc8f3b734cfb14176e6c8c15ec0_featured_v2.jpg?output-format=webp
Paneer Palace Pure Veg Multicuisine Fine Dine Restaurant,4.2,412.0,"North Indian, Chinese, South Indian","5th Floor, Fortune Enclave, Road 12, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/paneer-palace-pure-veg-multicuisine-fine-dine-restaurant-banjara-hills/info,https://b.zmtcdn.com/data/pictures/2/22518082/6339eebb07c6d90ee1d946cc0400d59f_o2_featured_v2.jpg?output-format=webp
Okra - Hyderabad Marriott Hotel & Convention Centre,4.2,1805.0,"Continental, North Indian, Chinese","1-3-1036/1/A, Tank Bund Road, Opposite Hussain Sagar Lake, Kavadiguda, Circle 14, Hyderabad Marriott Hotel And Convention Centre, Rani Gunj, Secunderabad",Hyderabad,/hyderabad/okra-hyderabad-marriott-hotel-convention-centre-rani-gunj-secunderabad/info,https://b.zmtcdn.com/data/pictures/3/91833/8c1ffb906ab888a19c8af7119399c4cf_featured_v2.jpg
Hummus House,4.7,1733.0,"Mediterranean, Lebanese, Asian","2-674/B/3/2A, House 8, Sri Ram Nagar Colony, Road 12, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/hummus-house-banjara-hills/info,https://b.zmtcdn.com/data/pictures/6/20703026/07a658a920b6ca4d46b97c14ead67c27_featured_v2.jpg
Hard Rock Cafe,4.2,7071.0,"American, Continental, Italian","Ground Floor, GVK One Mall, Road 1, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/hard-rock-cafe-banjara-hills/info,https://b.zmtcdn.com/data/pictures/chains/0/91500/624438edd376ac880166c081ac642402_featured_v2.jpg
The Nawaab's Restaurant,4.2,199.0,"Biryani, Lucknowi, Hyderabadi","Banjara Hills Road 12, Opposite Police Commissionerate, Venkateswara Colony, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/the-nawaabs-restaurant-banjara-hills/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
Habitat Cafe,4.4,9979.0,"Cafe, Coffee, Beverages","8-2-412, 5th Floor, Vimbari Boulevard, Sy 389, Khairtabad Circle 17, Road 4 & 6, Banjara Hills, Hyderabad",Hyderabad,/hyderabad/habitat-cafe-3-banjara-hills/info,https://b.zmtcdn.com/data/pictures/0/21058610/83c3937d18e9ce646cab62d5565f5d8a_featured_v2.jpg
Lake District Bar & Kitchen,4.0,2338.0,"North Indian, Chinese, Salad","Eat Street, PV Narasimha Rao Marg, Opposite Lake Police Station, Hussain Sagar Khairtabad, Hyderabad, Khairatabad, Hyderabad",Hyderabad,/hyderabad/lake-district-bar-kitchen-khairatabad/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png
